"Daily","Average Volumetric Soil Moisture (%)"
"2025-01-03",18.79
"2025-01-04",18.68
"2025-01-05",18.57
"2025-01-06",18.47
"2025-01-07",18.37
"2025-01-08",18.27
"2025-01-09",18.18
"2025-01-10",18.1
"2025-01-11",18.03
"2025-01-12",17.94
"2025-01-13",17.86
"2025-01-14",17.84
"2025-01-15",17.77
"2025-01-16",17.7
"2025-01-17",17.63
"2025-01-18",17.56
"2025-01-19",17.58
"2025-01-20",17.98
"2025-01-21",17.89
"2025-01-22",17.79
"2025-01-23",17.7
"2025-01-24",17.62
"2025-01-25",17.54
"2025-01-26",17.47
"2025-01-27",17.39
"2025-01-28",17.32
"2025-01-29",17.26
"2025-01-30",17.19
"2025-01-31",17.12
"2025-02-01",17.05
"2025-02-02",16.98
"2025-02-03",16.92
